GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
crud-application,com.crud.crud.application.entity,User,15,24,0,0,5,11,2,7,2,7
crud-application,com.crud.crud.application.entity,Product,21,82,0,2,8,30,1,16,1,15
crud-application,com.crud.crud.application,CrudApplication,5,3,0,0,2,1,1,1,1,1
crud-application,com.crud.crud.application.util,JwtUtil,2,100,1,3,1,25,2,11,1,10
crud-application,com.crud.crud.application.util,PasswordUtil,0,17,0,0,0,4,0,4,0,4
crud-application,com.crud.crud.application.util,UserValidation,40,174,14,44,8,33,15,19,1,4
crud-application,com.crud.crud.application.dto,AuthResponse,12,44,0,0,6,18,3,9,3,9
crud-application,com.crud.crud.application.dto,UserDto,24,81,1,3,6,27,3,12,2,11
crud-application,com.crud.crud.application.dto,ProductDto,14,123,1,1,1,43,2,16,1,16
crud-application,com.crud.crud.application.filter,JwtRequestFilter,39,20,8,2,8,8,5,2,0,2
crud-application,com.crud.crud.application.controller,AuthController,104,91,8,8,21,22,7,5,2,2
crud-application,com.crud.crud.application.controller,ProductController,49,53,15,3,8,12,10,6,1,6
crud-application,com.crud.crud.application.service,AuthService,0,66,0,4,0,15,0,8,0,6
crud-application,com.crud.crud.application.service,ProductService,4,196,7,25,1,48,7,21,0,12
